   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 1006.46  200.51     1      32       60
 256   64   25   16  996.80  249.20     1      32       60
 256   77   30   16 1011.30  304.18     1      32       60
 256   90   35   16  984.09  345.97     1      32       60
 256  102   39   16  997.43  397.41     1      32       60
 256  115   44   16  967.02  434.40     1      32       60
 256  128   50   16  981.52  490.76     1      32       60
 256  141   55   16  950.22  523.36     1      32       60
 256  154   60   16  967.25  581.86     1      32       60
 256  169   66   16  932.82  615.81     1      32       60
 256  179   69   16  957.50  669.50     1      32       60
 256  192   75   16  935.29  701.47     1      32       60
 256  205   80   16  930.94  745.48     1      32       60
 256  218   85   16  924.41  787.19     1      32       60
 256  230   89   16  908.04  815.82     1      32       60
