   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 10959.99 2183.44     0      32       60
 256   64   25   16 8468.69 2117.17     0      32       60
 256   77   30   16 5801.52 1744.99     0      32       60
 256   90   35   16 5554.91 1952.90     0      32       60
 256  102   39   16 5297.99 2110.92     0      32       60
 256  128   50   16 2796.32 1398.16     0      32       60
 256  154   60   16 2680.20 1612.31     0      32       60
 256  169   66   16 2546.93 1681.37     0      32       60
 256  179   69   16 2122.00 1483.74     0      32       60
 256  192   75   16 2114.60 1585.95     0      32       60
 256  210   82   16 1856.21 1522.67     0      32       60
 256  230   89   16 1904.45 1711.03     0      32       60
