   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 4694.90  935.31     0      32       60
 256   64   25   64 3681.55  920.39     0      32       60
 256   77   30   64 3328.97 1001.29     0      32       60
 256   90   35   64 3233.19 1136.67     0      32       60
 256  102   39   64 3287.95 1310.04     0      32       60
 256  128   50   64 2001.86 1000.93     0      32       60
 256  154   60   64 1796.38 1080.63     0      32       60
 256  169   66   64 1761.72 1163.01     0      32       60
 256  179   69   64 1548.27 1082.58     0      32       60
 256  192   75   64 1559.65 1169.74     0      32       60
 256  210   82   64 1418.20 1163.37     1      32       60
 256  230   89   64 1590.52 1428.98     0      32       60
