   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 6954.46 1385.46     0      64       60
 256   64   25   64 5420.29 1355.07     0      64       60
 256   77   30   64 4725.55 1421.36     0      64       60
 256   90   35   64 4449.34 1564.22     0      64       60
 256  102   39   64 4514.81 1798.87     0      64       60
 256  128   50   64 2672.22 1336.11     0      64       60
 256  154   60   64 2378.29 1430.69     0      64       60
 256  169   66   64 2288.50 1510.77     0      64       60
 256  179   69   64 1989.34 1390.98     0      64       60
 256  192   75   64 2028.55 1521.41     0      64       60
 256  210   82   64 1794.08 1471.71     0      64       60
 256  230   89   64 2058.56 1849.49     0      64       60
