   N    K    R   GF   Coded    Info   Lat
  64   13   20   64  110.36   22.00     3
  64   16   25   64   93.98   23.00     4
  64   19   29   64   70.04   20.00     5
  64   22   34   64   68.96   23.00     5
  64   26   40   64   77.44   31.00     4
  64   32   50   64   76.60   38.00     5
  64   38   59   64   71.43   42.00     5
  64   42   65   64   65.51   42.00     5
  64   45   70   64   63.26   44.00     6
  64   48   75   64   86.54   64.00     4
  64   52   81   64   77.84   63.00     4
  64   58   90   64   93.53   84.00     4
