   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 2836.62  565.11     0       8       60
 256   64   25   64 2236.34  559.09     0       8       60
 256   77   30   64 1988.36  598.06     0       8       60
 256   90   35   64 1864.37  655.44     0       8       60
 256  102   39   64 1925.71  767.28     0       8       60
 256  115   44   64 1710.35  768.32     0       8       60
 256  128   50   64  810.95  405.47     1       8       60
 256  141   55   64  772.27  425.35     1       8       60
 256  154   60   64  763.89  459.53     2       8       60
 256  169   66   64  740.83  489.06     2       8       60
 256  179   69   64  649.46  454.12     2       8       60
 256  192   75   64  653.26  489.94     2       8       60
 256  205   80   64  539.14  431.73     2       8       60
 256  218   85   64  557.08  474.39     2       8       60
 256  230   89   64  732.16  657.80     2       8       60
