   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 2768.76  551.59     0       8       60
 256   64   25   64 2045.42  511.36     0       8       60
 256   77   30   64 1819.70  547.33     0       8       60
 256   90   35   64 1687.77  593.36     0       8       60
 256  102   39   64 1762.98  702.44     0       8       60
 256  128   50   64  821.15  410.58     1       8       60
 256  154   60   64  730.60  439.50     2       8       60
 256  169   66   64  709.58  468.43     2       8       60
 256  179   69   64  625.69  437.49     2       8       60
 256  192   75   64  627.63  470.72     2       8       60
 256  210   82   64  545.99  447.89     2       8       60
 256  230   89   64  687.33  617.53     2       8       60
