   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   26.65    5.41    14
  64   16   25   64   27.10    6.78    14
  64   19   29   64   26.99    8.01    14
  64   22   34   64   26.51    9.11    14
  64   26   40   64   26.62   10.82    14
  64   32   50   64   26.24   13.12    14
  64   38   59   64   26.03   15.46    14
  64   42   65   64   25.80   16.93    14
  64   45   70   64   25.74   18.10    14
  64   48   75   64   25.52   19.14    15
  64   52   81   64   25.40   20.64    15
  64   58   90   64   25.11   22.75    15
