   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16  991.54  197.53     1       8       60
 256   64   25   16 1117.65  279.41     0       8       60
 256   77   30   16  930.96  280.02     1       8       60
 256   90   35   16  916.51  322.21     1       8       60
 256  102   39   16  913.69  364.05     1       8       60
 256  115   44   16  862.51  387.46     1       8       60
 256  128   50   16  603.05  301.53     1       8       60
 256  141   55   16  580.59  319.78     1       8       60
 256  154   60   16  576.33  346.70     1       8       60
 256  169   66   16  561.04  370.37     1       8       60
 256  179   69   16  488.11  341.30     2       8       60
 256  192   75   16  493.70  370.27     2       8       60
 256  205   80   16  452.63  362.46     2       8       60
 256  218   85   16  435.53  370.88     2       8       60
 256  230   89   16  549.43  493.63     1       8       60
