   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 1514.42  301.70     1       8       30
 256   64   25   64 1011.26  252.81     1       8       30
 256   77   30   64  872.79  262.52     1       8       30
 256   90   35   64  829.21  291.52     1       8       30
 256  102   39   64  868.35  345.98     1       8       30
 256  128   50   64  475.40  237.70     3       8       30
 256  154   60   64  408.17  245.54     3       8       30
 256  169   66   64  399.12  263.48     3       8       30
 256  179   69   64  359.82  251.59     4       8       30
 256  192   75   64  362.37  271.77     4       8       30
 256  210   82   64  326.04  267.46     4       8       30
 256  230   89   64  367.04  329.76     4       8       30
