   N    K    R   GF   Coded    Info   Lat
  64   13   20   64   23.63    4.00    16
  64   16   25   64   20.52    5.00    18
  64   19   29   64   16.03    4.00    23
  64   22   34   64   15.72    5.00    24
  64   26   40   64   18.28    7.00    21
  64   32   50   64   16.95    8.00    22
  64   38   59   64   16.88   10.00    22
  64   42   65   64   15.43   10.00    24
  64   45   70   64   15.52   10.00    24
  64   48   75   64   20.78   15.00    18
  64   52   81   64   18.71   15.00    20
  64   58   90   64   24.42   22.00    15
