   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   64 4103.14  817.42     0      12       60
 256   64   25   64 2768.01  692.00     0      12       60
 256   77   30   64 2543.59  765.06     0      12       60
 256   90   35   64 2303.92  809.97     0      12       60
 256  102   39   64 2383.43  949.65     0      12       60
 256  115   44   64 2163.35  971.82     0      12       60
 256  128   50   64 1007.48  503.74     1      12       60
 256  141   55   64  928.19  511.23     1      12       60
 256  154   60   64  883.39  531.42     1      12       60
 256  169   66   64  866.21  571.84     1      12       60
 256  179   69   64  786.06  549.63     1      12       60
 256  192   75   64  786.10  589.57     1      12       60
 256  205   80   64  717.42  574.50     2      12       60
 256  218   85   64  682.78  581.43     2      12       60
 256  230   89   64  881.38  791.86     1      12       60
