   N    K    R   GF   Coded    Info   Lat Threads Duration
 256   51   19   16 7569.35 1507.96     0      24       60
 256   64   25   16 6549.24 1637.31     0      24       60
 256   77   30   16 6061.36 1823.14     0      24       60
 256   90   35   16 5305.14 1865.09     0      24       60
 256  102   39   16 4685.44 1866.85     0      24       60
 256  115   44   16 4036.48 1813.26     0      24       60
 256  128   50   16 2440.05 1220.03     0      24       60
 256  141   55   16 2290.49 1261.56     0      24       60
 256  154   60   16 2198.41 1322.48     0      24       60
 256  169   66   16 1998.33 1319.21     0      24       60
 256  179   69   16 1599.67 1118.52     0      24       60
 256  192   75   16 1589.80 1192.35     0      24       60
 256  205   80   16 1392.61 1115.18     0      24       60
 256  218   85   16 1309.67 1115.26     0      24       60
 256  230   89   16 1724.10 1548.99     0      24       60
